user1,q1@qq.com,111111
user2,q2@qq.com,111112
user3,q3@qq.com,111113
user4,q4@qq.com,111114
user5,q1@qq.com,111115
user6,q2@qq.com,111116
user7,q3@qq.com,111117
user8,q4@qq.com,111118
user9,q1@qq.com,111119
user10,q2@qq.com,111120
user11,q3@qq.com,111121
user12,q4@qq.com,111111
user13,q1@qq.com,111111
user14,q2@qq.com,111111
user15,q3@qq.com,111111
user16,q4@qq.com,111111
user17,q1@qq.com,111111
user18,q2@qq.com,111111
user19,q3@qq.com,111111
user20,q4@qq.com,111111
user21,q1@qq.com,111111
user22,q1@qq.com,111111
user23,q1@qq.com,111111
user24,q1@qq.com,111111
